experiment_name,plot_name,plot_side,block,system_code,date,year,irrigation_amount,irrigation_unit
century,1_1,COMPOSITE,1,LMT,4/14/1994,1994,20.72,hectare*mm
century,1_1,COMPOSITE,1,LMT,4/15/1994,1994,53.05,hectare*mm
century,1_1,COMPOSITE,1,LMT,5/27/1994,1994,45.65,hectare*mm
century,1_1,COMPOSITE,1,LMT,5/27/1994,1994,17.52,hectare*mm
century,1_1,COMPOSITE,1,LMT,6/14/1994,1994,45.65,hectare*mm
century,1_1,COMPOSITE,1,LMT,6/14/1994,1994,17.52,hectare*mm
century,1_1,COMPOSITE,1,LMT,6/28/1994,1994,27.15,hectare*mm
century,1_1,COMPOSITE,1,LMT,6/28/1994,1994,9.55,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/6/1994,1994,14.81,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/6/1994,1994,6.35,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/14/1994,1994,16.03,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/14/1994,1994,6.35,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/22/1994,1994,12.34,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/22/1994,1994,4.78,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/27/1994,1994,12.34,hectare*mm
century,1_1,COMPOSITE,1,LMT,7/27/1994,1994,4.78,hectare*mm
century,1_1,COMPOSITE,1,LMT,8/2/1994,1994,11.09,hectare*mm
century,1_1,COMPOSITE,1,LMT,8/2/1994,1994,3.97,hectare*mm
century,1_1,COMPOSITE,1,LMT,8/8/1994,1994,9.87,hectare*mm
century,1_1,COMPOSITE,1,LMT,8/8/1994,1994,3.97,hectare*mm
century,1_2,COMPOSITE,1,OMT,5/6/1994,1994,54.27,hectare*mm
century,1_2,COMPOSITE,1,OMT,5/6/1994,1994,20.72,hectare*mm
century,1_2,COMPOSITE,1,OMT,5/31/1994,1994,46.86,hectare*mm
century,1_2,COMPOSITE,1,OMT,5/31/1994,1994,17.52,hectare*mm
century,1_2,COMPOSITE,1,OMT,6/16/1994,1994,54.27,hectare*mm
century,1_2,COMPOSITE,1,OMT,6/16/1994,1994,17.52,hectare*mm
century,1_2,COMPOSITE,1,OMT,6/29/1994,1994,48.12,hectare*mm
century,1_2,COMPOSITE,1,OMT,6/29/1994,1994,19.1,hectare*mm
century,1_2,COMPOSITE,1,OMT,7/12/1994,1994,45.65,hectare*mm
century,1_2,COMPOSITE,1,OMT,7/12/1994,1994,19.1,hectare*mm
century,1_2,COMPOSITE,1,OMT,7/21/1994,1994,9.55,hectare*mm
century,1_2,COMPOSITE,1,OMT,7/22/1994,1994,23.43,hectare*mm
century,1_2,COMPOSITE,1,OMT,7/29/1994,1994,25.9,hectare*mm
century,1_2,COMPOSITE,1,OMT,7/29/1994,1994,9.55,hectare*mm
century,1_2,COMPOSITE,1,OMT,8/5/1994,1994,24.69,hectare*mm
century,1_2,COMPOSITE,1,OMT,8/5/1994,1994,9.55,hectare*mm
century,1_2,COMPOSITE,1,OMT,8/19/1994,1994,20.96,hectare*mm
century,1_2,COMPOSITE,1,OMT,8/19/1994,1994,9.55,hectare*mm
century,1_2,COMPOSITE,1,OMT,9/14/1994,1994,27.15,hectare*mm
century,1_2,COMPOSITE,1,OMT,9/14/1994,1994,9.55,hectare*mm
century,1_3,COMPOSITE,1,CMT,4/15/1994,1994,57.99,hectare*mm
century,1_3,COMPOSITE,1,CMT,4/15/1994,1994,20.72,hectare*mm
century,1_3,COMPOSITE,1,CMT,5/27/1994,1994,45.65,hectare*mm
century,1_3,COMPOSITE,1,CMT,5/27/1994,1994,17.52,hectare*mm
century,1_3,COMPOSITE,1,CMT,6/14/1994,1994,48.12,hectare*mm
century,1_3,COMPOSITE,1,CMT,6/14/1994,1994,17.52,hectare*mm
century,1_3,COMPOSITE,1,CMT,6/28/1994,1994,27.15,hectare*mm
century,1_3,COMPOSITE,1,CMT,6/28/1994,1994,9.55,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/6/1994,1994,18.49,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/6/1994,1994,6.35,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/14/1994,1994,14.81,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/14/1994,1994,6.35,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/22/1994,1994,9.87,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/22/1994,1994,4.78,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/27/1994,1994,12.34,hectare*mm
century,1_3,COMPOSITE,1,CMT,7/27/1994,1994,4.78,hectare*mm
century,1_3,COMPOSITE,1,CMT,8/2/1994,1994,9.87,hectare*mm
century,1_3,COMPOSITE,1,CMT,8/2/1994,1994,3.97,hectare*mm
century,1_3,COMPOSITE,1,CMT,8/8/1994,1994,9.87,hectare*mm
century,1_3,COMPOSITE,1,CMT,8/8/1994,1994,3.97,hectare*mm
century,1_4,COMPOSITE,1,CMT,4/15/1994,1994,48.12,hectare*mm
century,1_4,COMPOSITE,1,CMT,4/15/1994,1994,19.1,hectare*mm
century,1_4,COMPOSITE,1,CMT,5/26/1994,1994,50.59,hectare*mm
