experiment_name,year,date,harvest_name,plot_name,plot_side,crop,plant_part,measurement_name,measurement_amount,measurement_unit,ss_e,ss_w
century,1994,8/27/1994,summer,1_1,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,61.38,tonnes/ha,62.728,60.032
century,1994,8/27/1994,summer,1_3,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,70.77,tonnes/ha,71.144,70.396
century,1994,8/27/1994,summer,2_3,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,40.457,tonnes/ha,39.386,41.528
century,1994,8/27/1994,summer,2_5,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,70.0985,tonnes/ha,70.027,70.17
century,1994,8/27/1994,summer,4_5,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,66.541,tonnes/ha,68.212,64.87
century,1994,8/27/1994,summer,5_3,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,66.654,tonnes/ha,65.885,67.423
century,1994,8/27/1994,summer,6_3,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,75.9825,tonnes/ha,74.496,77.469
century,1994,8/27/1994,summer,6_4,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,52.6355,tonnes/ha,51.749,53.522
century,1994,8/27/1994,summer,6_6,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,68.0075,tonnes/ha,59.427,76.588
century,1994,8/27/1994,summer,6_7,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,72.728,tonnes/ha,74.865,70.591
century,1994,8/27/1994,summer,6_8,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,52.9375,tonnes/ha,48.263,57.612
century,1994,8/27/1994,summer,8_9,COMPOSITE,solanum_lycopersicum,red_fruit,fresh_wt,59.4525,tonnes/ha,53.522,65.383
century,1994,3/29/1994,spring,1_2,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4311.1325,kg/ha,4596.35,4025.915
century,1994,3/29/1994,spring,2_3,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4763.6375,kg/ha,4651.388,4875.887
century,1994,3/30/1994,spring,2_4,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4734.528,kg/ha,5091.533,4377.523
century,1994,4/20/1994,spring,2_8,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,6468.3765,kg/ha,6640.742,6296.011
century,1994,4/20/1994,spring,3_6,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,6483.876,kg/ha,5852.433,7115.319
century,1994,4/20/1994,spring,3_7,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,7027.0955,kg/ha,6849.123,7205.068
century,1994,3/30/1994,spring,4_4,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,5291.608,kg/ha,5255.035,5328.181
century,1994,4/19/1994,spring,4_8,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,6222.502,kg/ha,5599.983,6845.021
century,1994,4/19/1994,spring,5_2,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,6259.856,kg/ha,6010.657,6509.055
century,1994,4/20/1994,spring,5_7,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,5697.3965,kg/ha,5426.099,5968.694
century,1994,3/29/1994,spring,6_4,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4474.1115,kg/ha,4641.601,4306.622
century,1994,3/29/1994,spring,6_5,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4349.1835,kg/ha,4732.663,3965.704
century,1994,3/29/1994,spring,6_8,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4743.2165,kg/ha,4857.678,4628.755
century,1994,3/30/1994,spring,6_9,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4661.8755,kg/ha,5011.071,4312.68
century,1994,4/19/1994,spring,7_5,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,5874.3705,kg/ha,6184.27,5564.471
century,1994,4/20/1994,spring,8_1,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,7189.7955,kg/ha,7321.69,7057.901
century,1994,3/30/1994,spring,8_6,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4519.2825,kg/ha,4438.179,4600.386
century,1994,3/29/1994,spring,8_8,COMPOSITE,winter_cover_plants,shoots,aboveground_biomass_dry_wt,4231.1585,kg/ha,4275.424,4186.893
century,1994,8/27/1994,summer,1_1,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,1677,kg/ha,1798,1556
century,1994,8/27/1994,summer,1_3,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,1962,kg/ha,2094,1830
century,1994,8/27/1994,summer,2_3,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,3746,kg/ha,5247,2245
century,1994,8/27/1994,summer,2_5,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,5647,kg/ha,6215,5079
century,1994,8/27/1994,summer,4_5,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,8240,kg/ha,10000,6480
century,1994,8/27/1994,summer,5_3,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,6767,kg/ha,6848,6686
century,1994,8/27/1994,summer,6_3,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,7487,kg/ha,7971,7003
century,1994,8/27/1994,summer,6_4,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,6275.5,kg/ha,6653,5898
century,1994,8/27/1994,summer,6_6,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,6698,kg/ha,6966,6430
century,1994,8/27/1994,summer,6_7,COMPOSITE,solanum_lycopersicum,residue,aboveground_biomass_dry_wt,5569.5,kg/ha,5407,5732
