fertilizer_name,fertilizer_unit,soil_amendment_name,soil_amendment_unit,soil_amendment_amount
1994_pm_compost,t/ha,Total C,%,18.13
1995_pm_compost,t/ha,Total C,%,25.23
1996_pm_compost,t/ha,Total C,%,22.04
1997_pm_compost,t/ha,Total C,%,23.26
2001_pm_compost,t/ha,EC,dS/m,6.9
2001_pm_compost,t/ha,pH,No units,7.6
2001_pm_compost,t/ha,Total B,ppm,38
2001_pm_compost,t/ha,Total C,%,15.3
2001_pm_compost,t/ha,Total Ca,%,2.48
2001_pm_compost,t/ha,Total Cu,ppm,490
2001_pm_compost,t/ha,Total Fe,ppm,5580
2001_pm_compost,t/ha,Total K,%,1.81
2001_pm_compost,t/ha,Total Mg,%,0.586
2001_pm_compost,t/ha,Total Mn,ppm,682
2001_pm_compost,t/ha,Total N,%,1.98
2001_pm_compost,t/ha,Total P,%,1.4
2001_pm_compost,t/ha,Total S,ppm,4480
2001_pm_compost,t/ha,Total Zn,ppm,405
2002_pm_compost,t/ha,EC,dS/m,7.8
2002_pm_compost,t/ha,pH,No units,8
2002_pm_compost,t/ha,Total B,ppm,37.8
2002_pm_compost,t/ha,Total C,%,16.7
2002_pm_compost,t/ha,Total Ca,%,2.47
2002_pm_compost,t/ha,Total Cu,ppm,501
2002_pm_compost,t/ha,Total Fe,ppm,5760
2002_pm_compost,t/ha,Total K,%,1.79
2002_pm_compost,t/ha,Total Mg,%,0.537
2002_pm_compost,t/ha,Total Mn,ppm,685
2002_pm_compost,t/ha,Total N,%,1.88
2002_pm_compost,t/ha,Total P,%,1.4
2002_pm_compost,t/ha,Total S,ppm,4420
2002_pm_compost,t/ha,Total Zn,ppm,411
2003_pm_compost,t/ha,EC,dS/m,6.5
2003_pm_compost,t/ha,pH,No units,8.5
2003_pm_compost,t/ha,Total B,ppm,34.5
2003_pm_compost,t/ha,Total C,%,11.1
2003_pm_compost,t/ha,Total Ca,%,2.26
2003_pm_compost,t/ha,Total Cu,ppm,474
2003_pm_compost,t/ha,Total Fe,ppm,6050
2003_pm_compost,t/ha,Total K,%,1.55
2003_pm_compost,t/ha,Total Mg,%,0.62
2003_pm_compost,t/ha,Total Mn,ppm,624
2003_pm_compost,t/ha,Total N,%,1.24
2003_pm_compost,t/ha,Total P,%,1.23
