experiment_name,plot_name,plot_side,date,year,fertilizer_name,fertilizer_unit,fertilization_amount
century,1_5,E,11/4/1993,,ammonium_nitrate,kg/ha,332
century,1_5,W,11/4/1993,,ammonium_nitrate,kg/ha,332
century,1_9,E,11/4/1993,,ammonium_nitrate,kg/ha,247
century,1_9,W,11/4/1993,,ammonium_nitrate,kg/ha,247
century,2_6,E,11/4/1993,,ammonium_nitrate,kg/ha,332
century,2_6,W,11/4/1993,,ammonium_nitrate,kg/ha,332
century,3_4,E,11/4/1993,,ammonium_nitrate,kg/ha,332
century,3_4,W,11/4/1993,,ammonium_nitrate,kg/ha,332
century,4_3,E,11/4/1993,,ammonium_nitrate,kg/ha,332
century,4_3,W,11/4/1993,,ammonium_nitrate,kg/ha,332
century,5_9,E,11/4/1993,,ammonium_nitrate,kg/ha,247
century,5_9,W,11/4/1993,,ammonium_nitrate,kg/ha,247
century,7_9,E,11/4/1993,,ammonium_nitrate,kg/ha,332
century,7_9,W,11/4/1993,,ammonium_nitrate,kg/ha,332
century,8_2,E,11/4/1993,,ammonium_nitrate,kg/ha,247
century,8_2,W,11/4/1993,,ammonium_nitrate,kg/ha,247
century,8_4,E,11/4/1993,,ammonium_nitrate,kg/ha,332
century,8_4,W,11/4/1993,,ammonium_nitrate,kg/ha,332
century,1_5,E,2/15/1994,,urea_granular,kg/ha,122
century,1_5,W,2/15/1994,,urea_granular,kg/ha,122
century,1_9,E,2/15/1994,,urea_granular,kg/ha,61
century,1_9,W,2/15/1994,,urea_granular,kg/ha,61
century,2_6,E,2/15/1994,,urea_granular,kg/ha,122
century,2_6,W,2/15/1994,,urea_granular,kg/ha,122
century,3_4,E,2/15/1994,,urea_granular,kg/ha,122
century,3_4,W,2/15/1994,,urea_granular,kg/ha,122
century,4_3,E,2/15/1994,,urea_granular,kg/ha,122
century,4_3,W,2/15/1994,,urea_granular,kg/ha,122
century,5_9,E,2/15/1994,,urea_granular,kg/ha,61
century,5_9,W,2/15/1994,,urea_granular,kg/ha,61
century,7_9,E,2/15/1994,,urea_granular,kg/ha,122
century,7_9,W,2/15/1994,,urea_granular,kg/ha,122
century,8_2,E,2/15/1994,,urea_granular,kg/ha,61
century,8_2,W,2/15/1994,,urea_granular,kg/ha,61
century,8_4,E,2/15/1994,,urea_granular,kg/ha,122
century,8_4,W,2/15/1994,,urea_granular,kg/ha,122
century,1_1,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,1_1,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,1_3,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,1_3,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,2_5,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,2_5,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,4_5,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,4_5,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,5_3,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,5_3,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,6_3,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,6_3,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,6_6,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,6_6,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,6_7,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,6_7,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,8_9,E,3/21/1994,,zinc_sulfate,kg/ha,57
century,8_9,W,3/21/1994,,zinc_sulfate,kg/ha,57
century,1_4,E,4/7/1994,,zinc_sulfate,kg/ha,57
century,1_4,W,4/7/1994,,zinc_sulfate,kg/ha,57
century,5_4,E,4/7/1994,,zinc_sulfate,kg/ha,57
century,5_4,W,4/7/1994,,zinc_sulfate,kg/ha,57
century,5_5,E,4/7/1994,,zinc_sulfate,kg/ha,57
century,5_5,W,4/7/1994,,zinc_sulfate,kg/ha,57
century,7_8,E,4/7/1994,,zinc_sulfate,kg/ha,57
century,7_8,W,4/7/1994,,zinc_sulfate,kg/ha,57
century,1_4,E,4/8/1994,,ammonium_sulfate,kg/ha,267
century,1_4,W,4/8/1994,,ammonium_sulfate,kg/ha,267
century,5_4,E,4/8/1994,,ammonium_sulfate,kg/ha,267
century,5_4,W,4/8/1994,,ammonium_sulfate,kg/ha,267
century,5_5,E,4/8/1994,,ammonium_sulfate,kg/ha,267
century,5_5,W,4/8/1994,,ammonium_sulfate,kg/ha,267
century,7_8,E,4/8/1994,,ammonium_sulfate,kg/ha,267
century,7_8,W,4/8/1994,,ammonium_sulfate,kg/ha,267
century,1_4,E,5/21/1994,,urea_granular,kg/ha,560
century,1_4,W,5/21/1994,,urea_granular,kg/ha,560
century,5_4,E,5/21/1994,,urea_granular,kg/ha,560
century,5_4,W,5/21/1994,,urea_granular,kg/ha,560
century,5_5,E,5/21/1994,,urea_granular,kg/ha,560
century,5_5,W,5/21/1994,,urea_granular,kg/ha,560
century,7_8,E,5/21/1994,,urea_granular,kg/ha,560
century,7_8,W,5/21/1994,,urea_granular,kg/ha,560
century,1_1,E,5/26/1994,,ammonium_sulfate,kg/ha,640
century,1_1,W,5/26/1994,,ammonium_sulfate,kg/ha,640
century,1_3,E,5/26/1994,,ammonium_sulfate,kg/ha,640
century,1_3,W,5/26/1994,,ammonium_sulfate,kg/ha,640
century,2_5,E,5/26/1994,,ammonium_sulfate,kg/ha,640
century,2_5,W,5/26/1994,,ammonium_sulfate,kg/ha,640
century,4_5,E,5/26/1994,,ammonium_sulfate,kg/ha,640
century,4_5,W,5/26/1994,,ammonium_sulfate,kg/ha,640
